Country Name,Country Code,Indicator Name,Indicator Code,1995,2000,2005,2010,2014
East Asia & Pacific (low and middle income),EAP,"Natural capital per capita, agricultural land: cropland (constant 2014 US$)",NW.NCA.CROL.PC,3292.258548,3888.481067,4451.763416,5443.300388,6432.899266
East Asia & Pacific (low and middle income),EAP,"Natural capital per capita, agricultural land: pastureland (constant 2014 US$)",NW.NCA.PASL.PC,657.9514548,785.9854823,1092.343173,1352.089242,1707.133578
East Asia & Pacific (low and middle income),EAP,"Natural capital per capita, forests (constant 2014 US$)",NW.NCA.FORE.PC,837.3904504,704.0970162,612.0930327,724.3768381,701.696027
East Asia & Pacific (low and middle income),EAP,"Natural capital per capita, forests: nontimber (constant 2014 US$)",NW.NCA.FNTI.PC,331.5352423,320.7593012,321.5226962,319.063428,315.9109711
East Asia & Pacific (low and middle income),EAP,"Natural capital per capita, forests: timber (constant 2014 US$)",NW.NCA.FTIM.PC,505.8552081,383.337715,290.5703365,405.3134101,385.785056
East Asia & Pacific (low and middle income),EAP,"Natural capital per capita, protected areas (constant 2014 US$)",NW.NCA.PRAR.PC,392.5745262,474.1852339,627.1744131,731.045873,940.7709232
East Asia & Pacific (low and middle income),EAP,"Natural capital per capita, subsoil assets (constant 2014 US$)",NW.NCA.SSOI.PC,541.5948367,477.2558346,1382.510506,3926.445689,3989.157849
East Asia & Pacific (low and middle income),EAP,"Natural capital per capita, subsoil assets, minerals: bauxite (constant 2014 US$)",NW.NCA.MBAU.PC,4.61689233,3.148128136,3.047995456,7.323446295,7.345980436
East Asia & Pacific (low and middle income),EAP,"Natural capital per capita, subsoil assets, minerals: copper (constant 2014 US$)",NW.NCA.MCOP.PC,36.20187268,42.66341511,76.78291969,173.8192047,142.7972118
East Asia & Pacific (low and middle income),EAP,"Natural capital per capita, subsoil assets, minerals: gold (constant 2014 US$)",NW.NCA.MGOL.PC,12.70560764,11.43806823,25.19059866,67.9421258,86.63912881
East Asia & Pacific (low and middle income),EAP,"Natural capital per capita, subsoil assets, minerals: iron ore (constant 2014 US$)",NW.NCA.MIRO.PC,9.470786354,7.138082218,100.3622238,777.4315913,890.0069114
East Asia & Pacific (low and middle income),EAP,"Natural capital per capita, subsoil assets, minerals: lead (constant 2014 US$)",NW.NCA.MLEA.PC,0.044039874,0.438691645,1.399221351,10.67623195,11.90416651
East Asia & Pacific (low and middle income),EAP,"Natural capital per capita, subsoil assets, minerals: nickel (constant 2014 US$)",NW.NCA.MNIC.PC,4.989611501,5.710293403,18.33207749,57.36518962,67.72233316
East Asia & Pacific (low and middle income),EAP,"Natural capital per capita, subsoil assets, minerals: phosphate (constant 2014 US$)",NW.NCA.MPHO.PC,0,0,0,78.82042024,89.53640226
East Asia & Pacific (low and middle income),EAP,"Natural capital per capita, subsoil assets, minerals: silver (constant 2014 US$)",NW.NCA.MSIL.PC,0,0,0,0,2.276186282
East Asia & Pacific (low and middle income),EAP,"Natural capital per capita, subsoil assets, minerals: tin (constant 2014 US$)",NW.NCA.MTIN.PC,0,0,0,0.444612449,2.766666554
East Asia & Pacific (low and middle income),EAP,"Natural capital per capita, subsoil assets, minerals: zinc (constant 2014 US$)",NW.NCA.MZIN.PC,0.565974731,0.320219015,0.458937225,26.66253253,7.81444325
East Asia & Pacific (low and middle income),EAP,"Natural capital per capita, subsoil assets: coal (constant 2014 US$)",NW.NCA.SACO.PC,75.57701625,30.08643306,541.2043713,1845.075969,1756.388595
East Asia & Pacific (low and middle income),EAP,"Natural capital per capita, subsoil assets: gas (constant 2014 US$)",NW.NCA.SAGA.PC,29.89721849,23.01964545,63.03180433,114.3800167,147.3327113
East Asia & Pacific (low and middle income),EAP,"Natural capital per capita, subsoil assets: minerals (constant 2014 US$)",NW.NCA.MINR.PC,68.59478512,70.85689776,225.5739737,1200.485355,1308.809431
East Asia & Pacific (low and middle income),EAP,"Natural capital per capita, subsoil assets: oil (constant 2014 US$)",NW.NCA.SAOI.PC,367.5258168,353.2928584,552.7003572,766.5043485,776.6271126
East Asia & Pacific (low and middle income),EAP,"Natural capital, agricultural land (constant 2014 US$)",NW.NCA.AGRI.TO,6.50E+12,8.14E+12,1.01E+13,1.28E+13,1.58E+13
East Asia & Pacific (low and middle income),EAP,"Natural capital, agricultural land: cropland (constant 2014 US$)",NW.NCA.CROL.TO,5.42E+12,6.77E+12,8.09E+12,1.03E+13,1.25E+13
East Asia & Pacific (low and middle income),EAP,"Natural capital, agricultural land: pastureland (constant 2014 US$)",NW.NCA.PASL.TO,1.08E+12,1.37E+12,1.99E+12,2.55E+12,3.31E+12
East Asia & Pacific (low and middle income),EAP,"Natural capital, forests (constant 2014 US$)",NW.NCA.FORE.TO,1.38E+12,1.23E+12,1.11E+12,1.37E+12,1.36E+12
East Asia & Pacific (low and middle income),EAP,"Natural capital, forests: nontimber (constant 2014 US$)",NW.NCA.FNTI.TO,5.46E+11,5.59E+11,5.85E+11,6.01E+11,6.13E+11
East Asia & Pacific (low and middle income),EAP,"Natural capital, forests: timber (constant 2014 US$)",NW.NCA.FTIM.TO,8.33E+11,6.68E+11,5.28E+11,7.64E+11,7.48E+11
East Asia & Pacific (low and middle income),EAP,"Natural capital, protected areas (constant 2014 US$)",NW.NCA.PRAR.TO,6.46E+11,8.26E+11,1.14E+12,1.38E+12,1.82E+12
East Asia & Pacific (low and middle income),EAP,"Natural capital, subsoil assets (constant 2014 US$)",NW.NCA.SSOI.TO,8.92E+11,8.31E+11,2.51E+12,7.40E+12,7.74E+12
East Asia & Pacific (low and middle income),EAP,"Natural capital, subsoil assets, minerals: bauxite (constant 2014 US$)",NW.NCA.MBAU.TO,7601994654,5482739846,5542218908,13803316037,14245203311
East Asia & Pacific (low and middle income),EAP,"Natural capital, subsoil assets, minerals: copper (constant 2014 US$)",NW.NCA.MCOP.TO,59608590131,74302060101,1.40E+11,3.28E+11,2.77E+11
East Asia & Pacific (low and middle income),EAP,"Natural capital, subsoil assets, minerals: gold (constant 2014 US$)",NW.NCA.MGOL.TO,20920557481,19920393872,45804468619,1.28E+11,1.68E+11
East Asia & Pacific (low and middle income),EAP,"Natural capital, subsoil assets, minerals: iron ore (constant 2014 US$)",NW.NCA.MIRO.TO,15594227043,12431593031,1.82E+11,1.47E+12,1.73E+12
East Asia & Pacific (low and middle income),EAP,"Natural capital, subsoil assets, minerals: lead (constant 2014 US$)",NW.NCA.MLEA.TO,72514337.28,764019779,2544226572,20122685108,23084362079
East Asia & Pacific (low and middle income),EAP,"Natural capital, subsoil assets, minerals: nickel (constant 2014 US$)",NW.NCA.MNIC.TO,8215699488,9944974224,33333509835,1.08E+11,1.31E+11
East Asia & Pacific (low and middle income),EAP,"Natural capital, subsoil assets, minerals: phosphate (constant 2014 US$)",NW.NCA.MPHO.TO,0,0,0,1.49E+11,1.74E+11
East Asia & Pacific (low and middle income),EAP,"Natural capital, subsoil assets, minerals: silver (constant 2014 US$)",NW.NCA.MSIL.TO,0,0,0,0,4413942651
East Asia & Pacific (low and middle income),EAP,"Natural capital, subsoil assets, minerals: tin (constant 2014 US$)",NW.NCA.MTIN.TO,0,0,0,838010672.3,5365073851
East Asia & Pacific (low and middle income),EAP,"Natural capital, subsoil assets, minerals: zinc (constant 2014 US$)",NW.NCA.MZIN.TO,931911895.2,557689355.4,834492900.1,50253848821,15153638623
East Asia & Pacific (low and middle income),EAP,"Natural capital, subsoil assets: coal (constant 2014 US$)",NW.NCA.SACO.TO,1.24E+11,52398148434,9.84E+11,3.48E+12,3.41E+12
East Asia & Pacific (low and middle income),EAP,"Natural capital, subsoil assets: gas (constant 2014 US$)",NW.NCA.SAGA.TO,49227592684,40090721169,1.15E+11,2.16E+11,2.86E+11
East Asia & Pacific (low and middle income),EAP,"Natural capital, subsoil assets: minerals (constant 2014 US$)",NW.NCA.MINR.TO,1.13E+11,1.23E+11,4.10E+11,2.26E+12,2.54E+12
East Asia & Pacific (low and middle income),EAP,"Natural capital, subsoil assets: oil (constant 2014 US$)",NW.NCA.SAOI.TO,6.05E+11,6.15E+11,1.00E+12,1.44E+12,1.51E+12
East Asia & Pacific (low and middle income),EAP,Net foreign assets (constant 2014 US$),NW.NFA.TO,-7.13E+11,-5.40E+11,2.39E+11,1.30E+12,7.84E+11
East Asia & Pacific (low and middle income),EAP,Net foreign assets per capita (constant 2014 US$),NW.NFA.PC,-433.1751171,-310.3422325,131.3976009,688.9089003,404.475982
East Asia & Pacific (low and middle income),EAP,Produced capital (constant 2014 US$),NW.PCA.TO,8.56E+12,1.27E+13,1.95E+13,3.19E+13,4.66E+13
East Asia & Pacific (low and middle income),EAP,Produced capital per capita (constant 2014 US$),NW.PCA.PC,5201.583784,7294.322877,10713.76457,16945.21554,24017.84392
East Asia & Pacific (low and middle income),EAP,Total wealth (constant 2014 US$),NW.TOW.TO,5.15E+13,6.53E+13,8.02E+13,1.35E+14,1.78E+14
East Asia & Pacific (low and middle income),EAP,Total wealth per capita (constant 2014 US$),NW.TOW.PC,31261.04522,37507.34311,44096.82263,71423.49634,91581.02295
Europe & Central Asia,ECS,Human capital (constant 2014 US$),NW.HCA.TO,1.43E+14,1.58E+14,1.70E+14,1.84E+14,1.94E+14
Europe & Central Asia,ECS,Human capital per capita (constant 2014 US$),NW.HCA.PC,175863.0779,193142.0737,206622.0022,219664.0925,227581.2267
Europe & Central Asia,ECS,Natural capital (constant 2014 US$),NW.NCA.TO,1.13E+13,1.10E+13,1.40E+13,1.62E+13,1.65E+13
Europe & Central Asia,ECS,Natural capital per capita (constant 2014 US$),NW.NCA.PC,13886.74924,13535.90189,17028.64108,19335.66863,19376.66942
Europe & Central Asia,ECS,"Natural capital per capita, agricultural land (constant 2014 US$)",NW.NCA.AGRI.PC,6855.071437,5973.200399,5498.875823,5331.31101,5728.804334
Europe & Central Asia,ECS,"Natural capital per capita, agricultural land: cropland (constant 2014 US$)",NW.NCA.CROL.PC,3749.930353,3095.617919,2935.745502,2875.631276,3058.639534
Europe & Central Asia,ECS,"Natural capital per capita, agricultural land: pastureland (constant 2014 US$)",NW.NCA.PASL.PC,3105.141084,2877.58248,2563.130321,2455.679734,2670.1648
Europe & Central Asia,ECS,"Natural capital per capita, forests (constant 2014 US$)",NW.NCA.FORE.PC,2006.145429,2000.028338,1996.003657,1927.758706,1915.028891
Europe & Central Asia,ECS,"Natural capital per capita, forests: nontimber (constant 2014 US$)",NW.NCA.FNTI.PC,1421.776479,1445.158519,1451.131867,1453.914605,1446.963138
Europe & Central Asia,ECS,"Natural capital per capita, forests: timber (constant 2014 US$)",NW.NCA.FTIM.PC,584.3689497,554.8698191,544.8717905,473.8441008,468.0657524
Europe & Central Asia,ECS,"Natural capital per capita, protected areas (constant 2014 US$)",NW.NCA.PRAR.PC,1257.732323,1459.726566,1521.696444,1572.035784,1703.723781
Europe & Central Asia,ECS,"Natural capital per capita, subsoil assets (constant 2014 US$)",NW.NCA.SSOI.PC,3767.800048,4102.94659,8012.065152,10504.56313,10029.11241
Europe & Central Asia,ECS,"Natural capital per capita, subsoil assets, minerals: bauxite (constant 2014 US$)",NW.NCA.MBAU.PC,14.66666461,8.331504631,7.314147138,5.145839369,3.185058114
Europe & Central Asia,ECS,"Natural capital per capita, subsoil assets, minerals: copper (constant 2014 US$)",NW.NCA.MCOP.PC,100.0024908,62.53117925,99.73689748,302.5187894,291.0785846
Europe & Central Asia,ECS,"Natural capital per capita, subsoil assets, minerals: gold (constant 2014 US$)",NW.NCA.MGOL.PC,20.31833778,5.800533716,30.90652772,110.2248629,218.2137108
Europe & Central Asia,ECS,"Natural capital per capita, subsoil assets, minerals: iron ore (constant 2014 US$)",NW.NCA.MIRO.PC,6.466820901,4.827354543,100.5043668,640.1546511,655.6938483
Europe & Central Asia,ECS,"Natural capital per capita, subsoil assets, minerals: lead (constant 2014 US$)",NW.NCA.MLEA.PC,0.081848975,0.695199532,1.437119869,11.90060227,12.09610023
Europe & Central Asia,ECS,"Natural capital per capita, subsoil assets, minerals: nickel (constant 2014 US$)",NW.NCA.MNIC.PC,10.87827933,19.50237513,64.85802061,136.0802373,79.5085504
Europe & Central Asia,ECS,"Natural capital per capita, subsoil assets, minerals: phosphate (constant 2014 US$)",NW.NCA.MPHO.PC,0.077063207,0.383034463,0.297419929,41.78920259,36.56063782
Europe & Central Asia,ECS,"Natural capital per capita, subsoil assets, minerals: silver (constant 2014 US$)",NW.NCA.MSIL.PC,0,0,0,0,7.141491273
Europe & Central Asia,ECS,"Natural capital per capita, subsoil assets, minerals: tin (constant 2014 US$)",NW.NCA.MTIN.PC,0,0,0,0.001471977,0.015236949
Europe & Central Asia,ECS,"Natural capital per capita, subsoil assets, minerals: zinc (constant 2014 US$)",NW.NCA.MZIN.PC,1.088690733,1.991902512,1.311305079,39.87482035,11.1387978
Europe & Central Asia,ECS,"Natural capital per capita, subsoil assets: coal (constant 2014 US$)",NW.NCA.SACO.PC,306.5164347,133.6750593,459.7435784,890.7243821,601.8008731
Europe & Central Asia,ECS,"Natural capital per capita, subsoil assets: gas (constant 2014 US$)",NW.NCA.SAGA.PC,1552.720177,1350.953968,2656.055549,2380.923644,2196.378139
Europe & Central Asia,ECS,"Natural capital per capita, subsoil assets: minerals (constant 2014 US$)",NW.NCA.MINR.PC,153.5801963,104.0630838,306.3658046,1287.690477,1314.632016
Europe & Central Asia,ECS,"Natural capital per capita, subsoil assets: oil (constant 2014 US$)",NW.NCA.SAOI.PC,1754.98324,2514.254479,4589.90022,5945.224625,5916.301385
Europe & Central Asia,ECS,"Natural capital, agricultural land (constant 2014 US$)",NW.NCA.AGRI.TO,5.56E+12,4.87E+12,4.54E+12,4.47E+12,4.88E+12
Europe & Central Asia,ECS,"Natural capital, agricultural land: cropland (constant 2014 US$)",NW.NCA.CROL.TO,3.04E+12,2.53E+12,2.42E+12,2.41E+12,2.60E+12
Europe & Central Asia,ECS,"Natural capital, agricultural land: pastureland (constant 2014 US$)",NW.NCA.PASL.TO,2.52E+12,2.35E+12,2.11E+12,2.06E+12,2.27E+12
Europe & Central Asia,ECS,"Natural capital, forests (constant 2014 US$)",NW.NCA.FORE.TO,1.63E+12,1.63E+12,1.65E+12,1.62E+12,1.63E+12
Europe & Central Asia,ECS,"Natural capital, forests: nontimber (constant 2014 US$)",NW.NCA.FNTI.TO,1.15E+12,1.18E+12,1.20E+12,1.22E+12,1.23E+12
Europe & Central Asia,ECS,"Natural capital, forests: timber (constant 2014 US$)",NW.NCA.FTIM.TO,4.74E+11,4.53E+11,4.49E+11,3.97E+11,3.98E+11
Europe & Central Asia,ECS,"Natural capital, protected areas (constant 2014 US$)",NW.NCA.PRAR.TO,1.02E+12,1.19E+12,1.26E+12,1.32E+12,1.45E+12
Europe & Central Asia,ECS,"Natural capital, subsoil assets (constant 2014 US$)",NW.NCA.SSOI.TO,3.06E+12,3.35E+12,6.61E+12,8.81E+12,8.54E+12
Europe & Central Asia,ECS,"Natural capital, subsoil assets, minerals: bauxite (constant 2014 US$)",NW.NCA.MBAU.TO,11904480183,6799217048,6033589790,4315726574,2710783188
Europe & Central Asia,ECS,"Natural capital, subsoil assets, minerals: copper (constant 2014 US$)",NW.NCA.MCOP.TO,81168943367,51030765610,82275009644,2.54E+11,2.48E+11
Europe & Central Asia,ECS,"Natural capital, subsoil assets, minerals: gold (constant 2014 US$)",NW.NCA.MGOL.TO,16491769319,4733729317,25495427773,92443688183,1.86E+11
Europe & Central Asia,ECS,"Natural capital, subsoil assets, minerals: iron ore (constant 2014 US$)",NW.NCA.MIRO.TO,5248919457,3939532264,82908110813,5.37E+11,5.58E+11
Europe & Central Asia,ECS,"Natural capital, subsoil assets, minerals: lead (constant 2014 US$)",NW.NCA.MLEA.TO,66434293.13,567342001.5,1185509617,9980829517,10294915809
Europe & Central Asia,ECS,"Natural capital, subsoil assets, minerals: nickel (constant 2014 US$)",NW.NCA.MNIC.TO,8829564465,15915598361,53502709692,1.14E+11,67669233654
Europe & Central Asia,ECS,"Natural capital, subsoil assets, minerals: phosphate (constant 2014 US$)",NW.NCA.MPHO.TO,62549832.7,312588730.1,245347791.8,35047882223,31116531877
Europe & Central Asia,ECS,"Natural capital, subsoil assets, minerals: silver (constant 2014 US$)",NW.NCA.MSIL.TO,0,0,0,0,6078078888
Europe & Central Asia,ECS,"Natural capital, subsoil assets, minerals: tin (constant 2014 US$)",NW.NCA.MTIN.TO,0,0,0,1234522.012,12968072.4
Europe & Central Asia,ECS,"Natural capital, subsoil assets, minerals: zinc (constant 2014 US$)",NW.NCA.MZIN.TO,883656755,1625562023,1081722419,33442322909,9480161661
Europe & Central Asia,ECS,"Natural capital, subsoil assets: coal (constant 2014 US$)",NW.NCA.SACO.TO,2.49E+11,1.09E+11,3.79E+11,7.47E+11,5.12E+11
Europe & Central Asia,ECS,"Natural capital, subsoil assets: gas (constant 2014 US$)",NW.NCA.SAGA.TO,1.26E+12,1.10E+12,2.19E+12,2.00E+12,1.87E+12
Europe & Central Asia,ECS,"Natural capital, subsoil assets: minerals (constant 2014 US$)",NW.NCA.MINR.TO,1.25E+11,84924335355,2.53E+11,1.08E+12,1.12E+12
